edge,Estimate,belife,
Sea_Temperature~Intercept,20.0,1,
Sea_Temperature~Winter_Ind,-10.0,3,
Wind_Speed~Intercept,39.6,1,
Wind_Speed~Sea_Temperature,0.0,1,
Wind_Speed~Wind_Speed,20.1,1,
Rotational_RPM~Intercept,1.2,1,
Rotational_RPM~Strength_Degradation,0.0,3,
Rotational_RPM~Winter_Ind,0.1,1,
Energy_Yield~Intercept,9.9,1,
Energy_Yield~Rotational_RPM,0.7,3,
Perceived_Noise~Intercept,22.7,1,
Perceived_Noise~Rotational_RPM,-1.8,3,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
